Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
DOC,9780393044225,Death and The King's Horseman,Wole Soyinka,,1975,Norton
DOC,9780435902667,Song of Lawino,Okot p'Bitek,,1984,Heinemann
partial DOC,9780890795996,Psychoeducational Assessment of Students Who Are Visually Impaired Or Blind,Sharon Bradley-Johnson,2,1994,Pro-Ed
"DOC, PDF, MP3",B0006R1BTG,Developmental Guidelines for Infants with Visual Impairment: A Manual for Early Intervention,"Amanda Hall Lueck, Deborah Chen, Linda Kekelis",,1998,American Printing House for the Blind
DOC,9781574160741,"American Indian history: five centuries of conflict & coexistence, Volume 1",Robert W. Venables,,2004,Clear Light Publishers
DOC,9781574160765,"American Indian History: Confrontation, adaptation & assimilation, 1783-present",Robert W. Venables,,2004,Clear Light Publishers
DOC,9780534526771,"Sight, sound, motion: applied media aesthetics",Herbert Zettl,3,1999,Wadsworth Pub. Co.
DOC,9780195082159,Comprehensive Textbook of Psychotherapy: Theory and Practice,Bruce Michael Bongar,,1995,Oxford University Press
PDF,9780803612082,Taber's Cyclopedic Medical Dictionary,Donald Venes,20,2005,F.A. Davis Company
DOC,9780814766583,Flirting With Danger: Young Women's Reflections on Sexuality and Domination,Lynn M. Phillips,,2000,NYU Press
DOC,9780679768616,About face: a history of America's curious relationship with China from Nixon to Clinton,James Mann,,2000,Vintage Books
DOC,9780390820433,Management Business Innovation to Meet Emerging Needs  MGMT 655 Course Reader,Bruce Paton,,2007,McGraw Hill
DOC,9780582264755,Sundiata: an epic of old Mali,Djibril Tamsir Niane,2,1965,Longman
DOC,9780130894960,Business and information systems,Robert C. Nickerson,2,2001,Prentice Hall
DOC,9780130934406,"Exploring Microsoft Excel 2002, Volume 1",Robert T. Grauer,,2001,Prentice Hall
PDF,9780618113606,Management,Ricky W. Griffin,7,2002,Houghton Mifflin Company
DOC,9780137459933,Entrepreneurship: strategies and resources,Marc J. Dollinger,2,1999,Prentice Hall
DOC,9780130172808,Essentials of entrepreneurship and small business management,Thomas Zimmerer,3,2002,Prentice Hall
DOC,9780131201828,"Marketing: Real People, Real Choices",Michael R. Solomon,3,2003,Prentice Hall
PDF,9780205324194,Introduction to US health policy,Donald A. Barr,6,2002,Benjamin Cummings
PDF,9780205375790,Elementary Statistics in Social Research: The Essentials,Jack Levin,,2003,Allyn and Bacon
PDF,9780321086693,Bridging multiple worlds: case studies of diverse educational communities,Lorraine S. Taylor,,2003,Allyn and Bacon
DOC,9780684844978,"America in Black and White: One Nation, Indivisible",Stephan Thernstrom,,1999,Simon and Schuster
DOC,9780073133768,A Topical Approach to Life-Span Development,John W. Santrock,3,2007,McGraw-Hill
DOC,9780131950719,Adolescence and Emerging Adulthood: A Cultural Approach (3rd Edition),Jeffrey Jensen Arnett,3,2006,Prentice Hall
DOC,9780130881083,Teaching students with mild and moderate disabilities: research-based practices,Libby G. Cohen,,2004,Pearson
PDF,9780393978575,Microbiology: An Evolving Science,Joan Slonczewski,,2009,W.W. Norton & Company
"DOC, KES(no FM)",9781400079810,At Risk,Stella Rimington,,2006,Random House DigitalInc.
"DOC, KES",9780192823786,The adventures of Sherlock Holmes,Sir Arthur Conan Doyle,,1994,Oxford University Press
DOC,9780763737696,The Essentials of Computer Organization And Architecture,Linda Null,2,2006,Jones & Bartlett Learning
DOC,9780521899291,International Law,Malcolm Nathan Shaw,6,2008,Cambridge University Press
DOC,9780805848632,Television and Child Development,Judith Page Van Evra,3,2004,Psychology Press
"DOC, PDF",9780130460202,"Biology Of Humans: Concepts, Applications, And Issues",Judith Goodenough,,2004,Pearson Prentice Hall
DOC,9780534622626,Healthy Sexuality,Richard Blonna,2,2005,Thomson/Wadsworth
RTF,9780205386642,"The rich get richer and the poor get prison: ideology, class, and criminal justice",Jeffrey H. Reiman,7,2004,Pearson/Allyn and Bacon
DOC,9780205410675,Introduction to the counseling profession,Dave Capuzzi,4,2004,Allyn & Bacon
DOC,9781557984098,"Psychoanalysis, Behavior Therapy, and the Relational World",Paul L. Wachtel,,1997,American Psychological Association
DOC,9780767421577,Psychological Testing and Assessment: An Introduction To Tests and Measurement,Ronald Jay Cohen,5,2001,McGraw-Hill
DOC,9781563709890,Job Search Handbook for People With Disabilities,Daniel J. Ryan,2,2004,Jist Works
DOC,9780534341985,Abuse in the family: an introduction,Alan R. Kemp,,1998,Brooks/Cole
DOC,9780826168504,Breakthroughs in family therapy with drug abusing and problem youth,Jose Szapocznik,,1989,Springer Pub. Co.
DOC done,9781593991739,Aging in Contemporary Society: Translating Research Into Practice,,,2005,XanEdu OriginalWorks
Master DOC,9780312203344,International Law,Malcolm Nathan Shaw,5,2003,Cambridge University Press
Master PDF,9780415111201,Akehurst's Modern Introduction to International Law,Peter Malanczuk,7,1997,Psychology Press
Master DOC,9780375414862,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,,2006,Random House Digital Inc.
Master PDF,9780324311907,Business Communication: Process & Product,Mary Ellen Guffey,5,2006,Cengage Learning
Master PDF,281433308049B,Management Of Quality Food Purchasing & Production (Reader),Frank,,2010,"Fog City Readers
Fog City Readers"
Master PDF,9780073377841,Operations Management,William J. Stevenson,10,2008,McGraw-Hill Irwin
"Partial DOC, KES, PDF",9780230619012,Interrogating America Through Theatre and Performance,William W. Demastes,,2009,Macmillan
Partial PDF,9789042025561,Harold Pinter's The Dumb Waiter,Harold Pinter,,2009,Rodopi
Master PDF,9780131723818,Adapting early childhood curricula for children with special needs,Ruth E. Cook,,2007,Pearson Merrill Prentice Hall
Master DOC; DOC,9781572301085,Doing Family Therapy: Craft and Creativity in Clinical Practice,Robert Taibbi,,1996,Guilford Press
DOC,9780534522513,The practice of family therapy: key elements across models,Suzanne Midori Hanna,3,2003,Thomson/Brooks/Cole
DOC,9780060914899,The Family Crucible,Augustus Y. Napier,,1988,HarperCollins
DOC,9781577663652,A Comprehensive Guide To Child Psychotherapy,Christiane Brems,2,2004,Waveland PressIncorporated
DOC,9780345339256,Dibs: in Search of Self: Personality Development in Play Therapy,Virginia Mae Axline,,1964,Random House DigitalInc.
DOC,9780765701299,Playing for Real: Exploring the World of Child Therapy and the Inner Worlds of Children,Richard Bromfield,,1997,Rowman & Littlefield
DOC,9780471347248,Operations management: an integrated approach,Robert D. Reid,2,2005,John Wiley
DOC,9780486266862,Complete Sonnets,William Shakespeare,,1991,Courier Dover Publications
"DOC, TXT",9780452263499,Sula,Toni Morrison,,1982,Plume
DOC,9780130178169,Principles of language learning and teaching,H. Douglas Brown,4,2000,Longman
"DOC, PDF",9780761926221,Handbook of Transnational Crime and Justice,Philip L. Reichel,,2004,Sage Publications
DOC,9780534596255,Psychology Applied to Work: An Introduction to Industrial and Organizational Psychology,Paul M. Muchinsky,7,2003,Thomson/Wadsworth
"DOC, PDF, TIF",9780194302166,"Person to Person: Communicative Speaking and Listening Skills, Book 2",Jack C. Richards,3,2005,Oxford
"DOC(no EM), TXT",9780130651327,Strategic management and business policy: Cases,Thomas L. Wheelen,8,2002,Prentice Hall
"PDF done, DOC only body, partial MP3",9780205593606,Social Work With Older Adults: A Biopsychosocial Approach to Assessment and Intervention,Kathleen McInnis-Dittrich,3,2009,Allyn & Bacon
DOC,85070100,Developmental Guidelines for Infants with Visual Impairments 2nd Edition,Amanda Hall Lueck,2,2008,
"Partial DOC, MP3",9780761946571,Special Education and the Law: A Guide for Practitioners,Allan G. Osborne,,2003,Corwin Press
DOC,9780072485608,How to Design and Evaluate Research in Education,Jack R. Fraenkel,5,2003,McGraw-Hill Higher Education
DOC,9781884585258,Proposing Empirical Research: A Guide to the Fundamentals,Mildred L. Patten,,1999,Pyrczak Pub
DOC,9780380727667,Live from Death Row,Mumia Abu-Jamal,3,1996,HarperCollins
"Master DOC, TIF",9780072998276,Traditions & Encounters: From the beginning to 1500,Jerry H. Bentley,3,2006,McGraw Hill
"PDF, OPD, KES",9780472033362,Telling a Research Story: Writing a Literature Review,Christine B. Feak,,2009,University of Michigan Press
Partial DOC,9780536248114,Among Nations: Readings in International Relations,Amy Eckert,,2007,Pearson Custom Publishing ; Foreign Affairs
"Partial DOC, PDF",9780495008620,The Politics of United States Foreign Policy,Jerel A. Rosati,4,2007,Thomson/Wadsworth
Master PDF,9780618403370,Social psychology,Sharon S. Brehm,6,2005,Houghton Mifflin
Master DOC,9780534636159,"Gendered Lives: Communication, Gender, and Culture (with InfoTrac)",Julia T. Wood,5,2004,Wadsworth Publishing
Master DOC,9780767427715,Reconstructing gender: a multicultural anthology,Estelle Disch,3,2003,McGraw-Hill
DOC,9780679761044,Snow country,Yasunari Kawabata,,1996,Vintage Books
DOC,9780385474542,Things fall apart,Chinua Achebe,,1959,Anchor Books
DOC,9780393093124,"Three Plays of Euripides: Alcestis, Medea, The Bacchae",Euripides,,1974,Norton
DOC,9780060193386,A History Of The Wife,Marilyn Yalom,,2001,HarperCollins
DOC,9780195100785,Ensuring Inequality: The Structural Transformation of the African-American Family,Donna L. Franklin,,1997,Oxford University Press
DOC,9780520228474,Legacies: The Story of the Immigrant Second Generation,Alejandro Portes,,2001,University of California Press
DOC,9780072488340,"Business, Government and Society: A Managerial Perspective",George A. Steiner,10,2002,Mcgraw-Hill College
DOC,9780072510768,"Essentials of corporate finance, Volume 1",Stephen A. Ross,4,2004,McGraw-Hill/Irwin
DOC,9780534561024,The Pocket Guide to Critical Thinking,Richard L. Epstein,2,2003,Wadsworth/Thomson Learning
"DOC, Daisy",9781558743663,"A Child Called ""It"": One Child's Courage to Survive",David J. Pelzer,,1993,HCI
DOC,9780137915750,Cognitive development,John H. Flavell,4,2002,Prentice Hall
DOC,9780072557077,Comprehensive Stress Management,Jerrold S. Greenberg,8,2003,McGraw-Hill
DOC,9780697294357,Your Personal Stress Profile And Activity Workbook,Jerrold S Greenberg,3,2001,McGraw-Hill
DOC,9780194372121,Second Language Acquisition,Rod Ellis,,1997,Oxford University Press
DOC,9780915132737,Dialogue With Death: A Journey Into Consciousness,Eknath Easwaran,2,1992,Nilgiri Press
DOC,9780201079791,"Somatics: Reawakening The Mind's Control Of Movement, Flexibility, And Health",Thomas Hanna,,1988,Da Capo Press
DOC,9780757516658,Study Guide for Sex & Relationships,Elia-Chen,2,2010,Kendall Hunt Publishing Company
Master DOC; DOC,9780872205796,"Abortion: The Supreme Court Decisions, 1965-2000",Ian Shapiro,2,2001,Hackett Publishing
DOC,9780804701532,"Law, Liberty and Morality",H. L. A. Hart,1,1963,Stanford Univ Pr
DOC,9781551111995,On Liberty,John Stuart Mill,,1999,Broadview Press
DOC,9780811201872,The Life of an Amorous Woman: And Other Writings,IHARA SAIKAKU,,1963,New Directions Publishing
DOC,9780679761815,Once Were Warriors,Alan Duff,,1995,Vintage
DOC,9780435909895,Unwinding threads: writing by women in Africa,Charlotte H. Bruner,2,1994,Heinemann
DOC,9780787957216,The quest for global dominance: transforming global presence into global competitive advantage,Vijay Govindarajan,,2001,Jossey-Bass
DOC,9780130179173,Total global strategy two,George S. Yip,2,2003,Prentice Hall
"Master PDF, DOC; DOC, OPD, PDF, TIF",9780536864604,Management Information Systems (Custom Edition for the ISYS 363 SFSU),George P. Schell,,2005,Pearson Custom Publishing
DOC,9780072329360,Motor learning: concepts and applications,Richard A. Magill,6,2001,McGraw-Hill
DOC,9780072945430,Jazz,Paul Tanner,10,,Mcgraw-Hill
DOC,9780896085329,Burning All Illusions: A Guide to Personal and Political Freedom,David Edwards,,1996,South End Press
DOC,9780072523423,Methods in behavioral research,Paul C. Cozby,8,2004,McGraw-Hill
DOC,9780072493641,Sexual Lives: A Reader on the Theories and Realities of Human Sexualities,Robert Heasley,,2002,McGraw-Hill
Master DOC; DOC,9780465060566,"The overspent American: upscaling, downshifting, and the new consumer",Juliet Schor,,1998,Basic Books
"DOC, KES, PDF",9781412997201,Methodological Thinking: Basic Principles of Social Research Design,Donileen R. Loseke,,2012,SAGE
"DOC, KES, PDF, Searchable PDF",9781593853020,Transformative Research and Evaluation,Donna M. Mertens,,2008,Guilford Press
"DOC, KES, PDF, Searchable PDF",9780807749623,The flat world and education,Linda Darling-Hammond,,2010,Teachers College Press
"KES, PDF",9781891792502,"School reform from the inside out: policy, practice, and performance",Richard F. Elmore,,2004,Harvard Education Press
Not on file,B003USAEVY,When Words Collide,L. Kessler and McDonald,7,2007,Wadsworth Publishing
Not on file,9781412977470,"Blogs, Wikis, Podcasts, and Other Powerful Web Tools for Classrooms",Will Richardson,3,2010,Corwin Press
"PDF, KES",9780787902032,Engaging ideas,John C. Bean,,1996,Jossey-Bass
"Contained few pages, deleted",9780874215755,Writing New Media,Anne Frances Wysocki,,2004,Utah State University Press
"PDF, DOC, TXT done",9780974351070,Beyond Pegboards,O'connell,,,
PDF,9780137037414,American Economic History,Hughes,,,
Not on file,9780471451617,Introduction to Organic Chemistry,William H. Brown,3,,
PDF,9780120885527,Marine Mammals: Evolutionary Biology,Annalisa Berta,2,2006,Academic Press
"PDF, Searchable PDF done",9780375411410,National Audubon Society Guide to Marine Mammals of the World,Brent Stewart,1,2002,Knopf
"PDF, Searchable PDF done",9780871563408,The Sierra Club handbook of whales and dolphins,Stephen Leatherwood,,1983,Sierra Club Books
"PDF, Searchable PDF done",9780792253143,"National Geographic Field Guide to the Birds of North America, Fifth Edition",Jon L. Dunn,5,2006,National Geographic Books
"PDF, Searchable PDF, DOC done",9780192100245,Think: A Compelling Introduction to Philosophy,Simon Blackburn,,1999,Oxford University Press
"PDF, Searchable PDF, DOC done",9780199797271,Exploring Philosophy: An Introductory Anthology,Steven M. Cahn,4,2011,Oxford University Press
"PDF, Searchable PDF, KES done",9780321707024,"Biology of Humans: Concepts, Applications, and Issues",Judith Goodenough,4,2011,Benjamin-Cummings Publishing Company
"PDF, Searchable PDF, DOC, KES",9780757567117,The Etymological Dictionary of Earth Science,Matthew Horrigan & David Mustart,,2009,Kendall Hunt Publsiher
"PDF, Searchable PDF done",9781111521394,Fundamentals of Oceanography,Tom Garrison,,2010,
"PDF, DOC, KES done",9781133349389,Understanding Nutrition,Whitney,12,2012,
"PDF, Searchable PDF, DOC, KES",9780137152636,Infant and Toddler Development and Responsive Program Planning: A Relationship-Based Approach,Donna S. Wittmer,2,2009,Pearson Education
"PDF, Searchable PDF, DOC, KES",9780983263302,Brain Rules for Baby: How to Raise a Smart and Happy Child from Zero to Five,John Medina,,2011,Pear Press
"PDF, Searchable PDF, DOC, KES",9780807740088,Bambini: The Italian Approach to Infant/Toddler Care,Lella Gandini,,2001,Teachers College Press
"PDF, DOC, KES done",9780801116933,California Infant toddler Learning and Development Foundations,,,2009,California Department of Education
"PDF, DOC, KES done",9780130278043,Tools of the mind: the Vygotskian approach to early childhood education,Elena Bodrova,2,2007,Pearson/Merrill Prentice Hall
"TIF, RTF, KES done",9780395921036,Child development in context: voices and perspectives,David N. Sattler,,2000,Houghton Mifflin
Master PDF; KES done,9781429216494,Readings on the Development of Children,Mary Gauvain,5,2008,Macmillan
"PDF, DOC, KES Done",9781111830830,Beginning Essentials in Early Childhood Education,Ann Gordon,2,2012,Cengage Learning
"PDF, TXT",9781121413726,KIN 355 Reader,R. F. Delderfield,,1960,G. P. Putnam's Sons
Not on file,9780415965224,On Becoming a Group Member,Muhyidd Shakoor,,2009,Taylor & Francis
Master DOC & PDF,9781609186388,Treating Addiction: A Guide for Professionals,William R. Miller,,2011,Guilford Press
Master PDF,9780716779988,Molecular Biology: Principles and Practice,Michael M. Cox,,2011,W. H. Freeman
PDF & Searchable PDF done,9780495118374,Organic Chemistry,John McMurry,7,2007,Thomson Brooks/Cole
Master PDF,9780321597502,"Physics, Volume 1",James S. Walker,4,2009,Addison Wesley (pear
Master PDF,9780136110927,"Consumer behavior: buying, having, and being",Michael R. Solomon,9,2010,Prentice Hall
Master PDF,9780538473323,Advertising and Integrated Brand Promotion,Thomas C. O'Guinn,6,2011,Cengage Learning
Master PDF; TXT done,9780324664560,Fundamentals of Financial Management,Eugene F. Brigham,6,2008,Cengage Learning
Not on file,9781111930004,Aplia Access Card for Daft's Management,Daft,10,,
Master DOC & PDF,9780078028496,Health in Later Years,Rebecca Ferrini,5,2012,"McGraw-Hill Companies,Incorporated"
Master PDF; DOC & KES done,9780321626400,Health: The Basics,Rebecca J. Donatelle,9,2010,Benjamin-Cummings Publishing Company
Not on file,9780936185927,The Tao of Healthy Eating: Dietary Wisdom According to Traditional Chinese Medicine,Bob Flaws,,1998,Blue Poppy EnterprisesInc
Master DOC & KES,9780787996796,"Shaping School Culture: Pitfalls, Paradoxes, and Promises",Terrence E. Deal,2,2009,John Wiley & Sons
Master DOC & KES,9780787988067,Reframing Academic Leadership,Lee G. Bolman,,2011,John Wiley & Sons
"Master PDF; PDF, DOC, KES done",9780787995195,Engaging the Six Cultures of the Academy:,William H. Bergquist,,2007,John Wiley & Sons
"PDF, Seachable PDF, DOC, KES",9780814109779,Cross-Talk in Comp Theory: A Reader,,3,2011,National Council of Teachers of English
"PDF, Seachable PDF, DOC, KES",9780415885164,Concepts in Composition: Theory and Practice in the Teaching of Writing,Clark L Irene,2,2011,Taylor & Francis
"PDF, DOC, KES done",9781285046303,ACP Intro Psych Statistics,,,,
"PDF, DOC, KES done",9781111985882,Life Span Human Development,,,,
"PDF, DOC, KES done",9780078035296,Social Psychology,David Myers,11,2012,"McGraw-Hill Companies,Incorporated"
"PDF, Searchable PDF, DOC, KES",9780199737673,"Gay, Straight, and the Reason Why",Simon LeVay,,2010,Oxford University Press
PDF done,9781595586438,The New Jim Crow,Michelle Alexander,,2012,The New Press
"PDF, Searchable PDF, DOC, KES",9781599419817,Leading Constitutional Cases on Criminal Justice,Lloyd L. Weinreb,,2011,West Group
"Master PDF; DOC, KES done",9780840029195,Criminal Justice in Action,Larry K. Gaines,7,2012,Wadsworth Publishing
"PDF, Searchable PDF, DOC, KES",9780415957809,Progressive Community Organizing,Loretta Pyles,,2009,CRC Press
Searchable PDF done,9780495603009,Biological Psychology,Kalat,10,2008,Cengage Learning
Master PDF,9780205548927,Biopsychology,John P. J. Pinel,7,2009,Pearson/Allyn and Bacon
Master PDF,9780131424777,Mastering Simulink,"Dabney, James B",1,2004,Pearson
Master PDF; KES done,9781111344665,Development Through Life: A Psychosocial Approach,Barbara M. Newman,11,2011,Cengage Learning
"PDF, Searchable PDF, DOC, KES",9781412937511,Career Theory and Practice: Learning Through Case Studies,Jane L. Swanson,2,2009,SAGE
"PDF, Searchable PDF, DOC, KES",9780826108586,101 Careers in Counseling,"Shannon Hodges, PhD, LMHC, ACS",,2012,Springer Publishing Company
Not on file,9781452217710,Making Sense of the Social World: Methods of Investigation,Daniel F. Chambliss,,2012,SAGE
"PDF, Searchable PDF, DOC done",9780192892744,Ethnicity,,,1996,Oxford University PressUSA
"PDF, Searchable PDF, DOC done",9780465070749,Working Toward Whiteness,David R. Roediger,,2006,Basic Books
"PDF, KES",9780061120060,Their Eyes Were Watching God,Zora Neale Hurston,,2006,HarperCollins
Not on file,9780809000326,The Autobiography of an Ex-Colored Man,James Weldon Johnson,,1991,Macmillan
"PDF, Searchable PDF, DOC, KES",9780826304698,The Surrounded (Zia Book),D'Arcy McNickle,2,1978,University of New Mexico Press
KES done,9780743273565,The Great Gatsby,Francis Scott Fitzgerald,,2004,Simon and Schuster
"PDF, Searchable PDF, DOC done",9780143113775,How to Watch TV News,Neil Postman,,2008,Penguin
"PDF, TXT done",9781428263802,Sentence-Combining Workbook,Pam Altman,,2010,Cengage Learning
"PDF, Searchable PDF, DOC, KES",9780137061334,Human Communication Disorders: An Introduction,Noma B. Anderson,8,2010,Pearson
Not on file,9780757595127,You're a Poet and Didn't Know It,Marina Whitchurch,,2012,Kendall Hunt Publishing Company
"PDF, Searchable PDF, DOC, KES",9780757589676,IMAGE AS IDEA: THE ARTS IN GLOBAL C,JAMES W. DAVIS,,2011,KENDALL HUNT
Not on file,9781412965552,African American Psychology: From Africa to America,Faye Z Belgrave,2,2009,SAGE
"PDF, DOC, KES done",9780137000081,Introduction to Communication Disorders: A Lifespan Evidence-Based Perspective,Robert E. Owens,4,2010,Pearson Education
Not on file,9781416404217,The Syntax Handbook: Everything You Learned about Syntax--But Forgot!,Laura M. Justice,,2002,Pro Ed
"PDF, DOC, KES done",9780132582520,Language Development: An Introduction,"Robert E. Owens, Jr.",,2011,Pearson
"PDF, DOC done",9780323056564,"Netter's Atlas of Anatomy for Speech, Swallowing, and Hearing",David H. McFarland,,2008,Mosby/Elsevier
"PDF, DOC, KES done",9781428312234,"Anatomy and Physiology for Speech, Language, and Hearing",John A. Seikel,,2009,Cengage Learning
"PDF, DOC done",9781581212105,Signing Naturally St Wkbk Units 1-6  With 2 DVDs,,,2008,DawnSignPress
"KES, DOC, PDF",9780323043427,Hearing Science Fundamentals,Norman J. Lass,,2007,Mosby/Elsevier Incorporated
"PDF, DOC",9780131495388,Cost accounting: a managerial emphasis,Charles T. Horngren,12,2006,Pearson Prentice Hall
Not on file,9780872203167,The Prince,Machiavelli,,1995,Hackett Publishing
"DOC, PDF",9780872200470,Basic Political Writings,Jean-Jacques Rousseau,,1987,Hackett
Not on file,9780141441474,On Liberty and the Subjection of Women,John Stuart Mill,,2006,Penguin Books Limited
PDF,9780300009804,Utopia,Sir Thomas More (Saint),,1964,Yale University Press
PDF,9780393933765,Essentials of Comparative Politics,Patrick H. O'Neil,,2009,W. W. Norton
PDF,9780205622191,Power and Politics in California,Ken DeBow,9,2008,Longman Publishing Group
"DOC, TIF",9780553273915,The House of the Spirits,Isabel Allende,,1986,Random House DigitalInc.
"DOC, PDF",9780679732433,One Day of Life,Manlio Argueta,,1991,Knopf Doubleday Publishing Group
"DOC, PDF",9780374525552,The Real Life of Alejandro Mayta: A Novel,Mario Vargas Llosa,,1998,Macmillan
"DOC, PDF",9780195375701,Modern Latin America,Thomas E. Skidmore,7,2010,Oxford University Press
"DOC, PDF",9780195382730,A March of Liberty: A Constitutional History of the United States,Melvin I. Urofsky,3,2011,Oxford University Press
"PDF, DOC, KES",9780471522294,Introductory mycology,Constantine John Alexopoulos,4,1996,Wiley
"PDF, KES",9780878932948,The Ecology of Plants,Jessica Gurevitch,2,2006,Sinauer Associates
PDF,9780195390056,"Scientific Writing and Communication: Papers, Proposals, and Presentations",Angelika H. Hofmann,,2010,Oxford University Press
Not on file,9780887252662,A handbook of biological investigation,Harrison W. Ambrose,6,2002,Hunter Textbooks
"DOC, PDF",9780860914815,Against Method,Paul Feyerabend,3,1993,Verso
"PDF, DOC, KES",9781111344450,Media Effects Research: A Basic Overview,Glenn G. Sparks,4,2012,Cengage Learning
"PDF, TXT",9780130388537,"Brand You: Marketing Real People, Real Choices 7e",Michael R. Solomon,7,2011,Pearson Education
"PDF, TXT",9780538469319,Accounting Information Systems,"Ulric J. Gelinas, Jr.",9,2011,Cengage Learning
PDF,9780078097850,How to Design and Evaluate Research in Education,Jack Fraenkel,8,2011,"McGraw-Hill Companies,Incorporated"
Not on file,9780743297332,The Sun Also Rises,Ernest Hemingway,,2006,Simon and Schuster
"KES, DOC, PDF",9780820474151,The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,Jeffrey Michael Reyes Duncan-Andrade,,2008,Peter Lang
"DOC, KES, PDF",9781412965576,"Research Design: Qualitative, Quantitative, and Mixed Methods Approaches",John W Creswell,3,2008,SAGE
"KES, PDF",9780073525259,Operations Management,William Stevenson,11,2011,"McGraw-Hill Companies,Incorporated"
PDF,9780307387943,Zeitoun,Dave Eggers,,2010,Random House DigitalInc.
"KES, PDF",9781400052189,Immortal life of Henrietta Lacks,Rebecca Skloot,1,2011,Random House DigitalInc.
PDF,9781842777954,The Global Food Economy: The Battle for the Future of Farming,Tony Weis,,2007,Zed Books
"DOC, KES, PDF",9780132434560,Counseling: A Comprehensive Profession,Samuel T. Gladding,6,2008,Prentice Hall
"DOC, PDF",9780521476423,The Women of Colonial Latin America,Susan Migden Socolow,,2000,Cambridge University Press
PDF,9780471756149,Organic Chemistry,David R. Klein,,2010,John Wiley & Sons
"DOC, KES, PDF",9780073530314,"Negotiation: Readings, Exercises, and Cases",Roy J Lewicki,6,2009,McGraw-Hill
"DOC, KES, PDF",9781412987745,Organization Development: The Process of Leading Organizational Change,Donald L. Anderson,2,2011,SAGE
Not on file,9781256726029,Managing Diversity Package National,,,,
"DOC, KES, PDF",9780684854717,From Poor Law to Welfare State: A History of Social Welfare in America,Walter I. Trattner,6,1999,Simon and Schuster
"DOC, KES, PDF",9780205792740,Human Behavior and the Social Environment: Theory and Practice,Joan Granucci Lesser,2,2010,Prentice Hall
Not on file,9781412961356,The Literature Review: Six Steps to Success,Lawrence A. Machi,,2008,Corwin Press
"DOC, KES, PDF",9780205216338,Race and Ethnicity in the United States,Richard T. Schaefer,7,2012,Pearson Education
Not on file,9780789031983,Culturally Diverse Populations: Reflections From Pioneers In Education & Resear,Diane De Anda,,2009,Taylor & Francis
"KES, PDF",9781412927444,Intercultural Communication: Globalization and Social Justice,Kathryn Sorrells,,2012,SAGE
Not on file,9780195162622,Solution-Oriented Social Work Practice: An Integrative Approach to Working With Client Strengths,Gilbert J. Greene,,2011,Oxford University Press
Not on file,9781452219912,Restorative Justice Today: Practical Applications,,,2012,SAGE Publications
"DOC, PDF",9781551114279,Making Up Your Mind,Robert Mutti,,2002,Broadview Press
"DOC, PDF",9780312534936,Writing about Writing: A College Reader,Elizabeth Wardle,,2010,Bedford/St. Martin's
"DOC, PDF",9780078051050,"Annual Editions: AnDying, Death, and Bereavement 12/13",George Dickinson,13,2011,"McGraw-Hill Companies,Incorporated"
"DOC, PDF",9781452203096,Aging: Concepts and Controversies,Harry R. Moody,7,2011,SAGE Publications
"DOC, PDF",9780393935684,"Voices of Freedom: A Documentary History, Volume 2",Eric Foner,3,2010,W.W. Norton & Company
"DOC, PDF",9780393935530,Give Me Liberty!: An American History,Eric Foner,3,2012,W W Norton & Company Incorporated
DOC and Searchable PDF,9780061130243,Black Boy,Richard Wright,,2007,HarperCollins
Not on file,9781256260516,GEOS: PEARSON CUSTOM LIBRARY GEOG&GEOL SFSU,Dempsey,,2012,Pearson Learning Solutions
Searchable PDF,9780471757399,"Organic Chemistry, Student Study Guide and Solutions Manual",David R. Klein,,2011,John Wiley & Sons
Not on file,9780313601416,From Inquiry to Academic Writing,,,,
Record incomplete so deleted!,9780393934717,American Politics Today,Bianco,2,,W.W. Norton
Searchable PDF from Publisher,9780538466264,"Business Communication: Process and Product, Mobile 7th edition",Guffey,7,,
DOC,9780757598890,Hatha Yoga: Course Reader,Caughlan,,2012,
"DOC, PDF, TXT",9780132612265,Elementary and Middle School Mathematics: Teaching Developmentally,John A. Van De Walle,8,2012,Pearson Education
"OPD, TXT",9780873536561,Smarter Together! Collaboration and Equity in Elementary Mathematics,Helen Featherstone,,2011,National Council of Teachers of Mathematics
"OPD, TXT",9781935099017,"Classroom Discussions: Using Math Talk to Help Students Learn, Grades K-6",Suzanne H. Chapin,2,2009,Math Solutions
"OPD, TXT",9780325030531,Extending Children's Mathematics: Fractions and Decimals,Susan B. Empson,,2011,Heinemann
"PDF, TXT",9780942961546,Rethinking mathematics: teaching social justice by the numbers,Eric Gutstein,,2005,Rethinking SchoolsLtd.
Not on file,9780814152539,Teaching writing online: how and why,Scott Warnock,,2009,National Council of Teachers of English
"DOC, PDF",9780312609429,Media and Culture 7e with 2011 Update: An Introduction to Mass Communication,Richard Campbell,,2010,Bedford/St. Martin's
"DOC, PDF",9780743290357,Malinche: A Novel,Laura Esquivel,,2007,Simon and Schuster
"DOC, PDF",9781844674459,"I, Rigoberta Mench?Ÿ?§: an Indian woman in Guatemala",Rigoberta Mench?Ÿ?§,,2009,Verso
"DOC, KES, TIF",9783822859834,Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,,1999,Taschen
